sale_id,credit_card,customer_email,first_name,last_name,date_time,item_id
1,3.05064E+13,sgoreisr0@e-recht24.de,Sidoney,Goreisr,1/16/21 4:40,4
2,6.37763E+15,mmonday1@dot.gov,Melita,Monday,5/18/20 8:18,4
3,3.53205E+15,lmaccallister2@theglobeandmail.com,Levi,MacCallister,8/26/20 13:15,17
4,3.53616E+15,,Lisette,Cymper,4/17/20 2:03,14
5,3.72726E+14,sklossek4@gmpg.org,Seth,Klossek,6/21/20 20:43,2
6,2.01587E+14,tduhamel5@ycombinator.com,Terrence,Du Hamel,1/30/21 20:25,11
7,3.57077E+15,hyusupov6@sun.com,Hamid,Yusupov,9/12/20 3:50,10
8,3.55135E+15,sdelhay7@studiopress.com,Shelbi,Delhay,5/13/20 19:39,6
9,3.72669E+14,rchimenti8@army.mil,Roderick,Chimenti,5/30/20 2:17,10
10,5.61034E+18,zfreezor9@theglobeandmail.com,Zechariah,Freezor,11/17/20 23:19,18
11,6.3711E+15,bwynetta@sun.com,Beatrice,Wynett,8/5/20 9:03,14
12,2.01526E+14,,Bondy,McGorley,1/10/21 17:40,16
13,4.84404E+15,dmarkiec@sohu.com,Dasie,Markie,9/8/20 2:36,13
14,3.74284E+14,,Betsy,Harman,9/7/20 6:44,7
15,5.89312E+18,pfluckere@nhs.uk,Phebe,Flucker,12/23/20 4:18,9
16,4.17501E+15,,Sly,MacGiany,12/28/20 14:16,8
17,4.91794E+15,,Dominic,Jekel,4/2/20 15:43,6
18,5.03879E+15,,Feliks,Durker,4/18/20 22:15,20
19,5.34858E+15,hfarryani@networksolutions.com,Hollyanne,Farryan,9/28/20 8:41,14
20,3.56301E+15,,Madalena,Purveys,5/7/20 2:17,19
21,5.02001E+17,ldavidowskyk@sfgate.com,Leroi,Davidowsky,11/10/20 21:02,12
22,5.60224E+18,gitzcovichchl@123-reg.co.uk,Gratia,Itzcovichch,3/2/20 10:17,5
23,3.57054E+15,mplaunchm@comcast.net,Mallory,Plaunch,3/4/20 3:41,2
24,5.10018E+15,ltrevenun@constantcontact.com,Laney,Trevenu,10/7/20 11:22,4
25,5.60225E+15,rhuddleso@ycombinator.com,Rafaela,Huddles,8/26/20 17:49,15
26,3.04213E+13,dcrispep@wordpress.com,Dorian,Crispe,2/3/21 2:10,20
27,3.74622E+14,mmeekingq@independent.co.uk,Matias,Meeking,9/19/20 7:07,19
28,6.75938E+15,,Elwyn,Manass,3/3/20 13:03,11
29,3.58378E+15,nadamos@icq.com,Niles,Adamo,5/28/20 1:12,8
30,4.50878E+15,awalkinshawt@webnode.com,Antonin,Walkinshaw,1/25/21 23:47,18
31,6.76265E+17,hdeblingu@barnesandnoble.com,Hillie,Debling,5/1/20 5:11,17
32,4.02673E+15,syuryevv@cmu.edu,Stillman,Yuryev,10/14/20 23:20,13
33,3.74623E+14,kmathivatw@woothemes.com,Krispin,Mathivat,11/16/20 2:42,20
34,5.10018E+15,bmatysiakx@fc2.com,Boyce,Matysiak,12/4/20 23:01,5
35,3.74284E+14,bbrogioniy@accuweather.com,Brad,Brogioni,5/7/20 20:46,15
36,4.8446E+15,mgyez@dion.ne.jp,Monique,Gye,1/23/21 1:02,6
37,3.5643E+15,dspohr10@i2i.jp,Darda,Spohr,3/27/20 13:28,15
38,3.01251E+13,cgoodlett11@amazonaws.com,Ced,Goodlett,12/13/20 1:22,1
39,6.04425E+15,mhogbin12@stumbleupon.com,Morgen,Hogbin,2/29/20 12:59,6
40,3.582E+15,fleidecker13@networksolutions.com,Flore,Leidecker,10/8/20 0:50,13
41,3.5576E+15,,Norri,Brammall,5/31/20 12:00,16
42,5.29987E+15,mmonni15@vk.com,Maxie,Monni,2/28/20 13:41,6
43,4.4057E+15,sgauvain16@netlog.com,Sandra,Gauvain,1/22/21 11:15,6
44,3.56859E+15,kmccarron17@networkadvertising.org,Keene,McCarron,6/21/20 20:06,10
45,5.61008E+15,joverel18@google.com.hk,Janaya,Overel,3/17/20 18:51,5
46,3.57212E+15,,Chad,Atwell,5/4/20 17:07,14
47,5.60222E+18,nbudden1a@webnode.com,Nanny,Budden,2/8/21 22:27,14
48,3.56485E+15,dboscher1b@uol.com.br,Deeyn,Boscher,2/23/21 4:44,7
49,2.0162E+14,obindley1c@hubpages.com,Orv,Bindley,1/2/21 19:38,20
50,3.55737E+15,cbartozzi1d@narod.ru,Cordi,Bartozzi,11/3/20 2:35,20
